"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"142",0,5.502889978606,0.799,0.022,0,"28","TYMS"
"143",0,5.26231260069743,0.317,0.005,0,"28","SGOL1"
"144",0,5.39055195354131,0.28,0.004,0,"28","CASC5"
"145",0,5.01277405058432,0.276,0.006,0,"28","RP11-545E17.3"
"146",0,10.7962061994418,0.936,0.002,0,"29","C20orf85"
"147",0,10.6866561989548,0.735,0.001,0,"29","CAPSL"
"148",0,10.9357462526436,0.731,0.002,0,"29","TMEM190"
"149",0,10.8710528901731,0.373,0,0,"29","RP11.356K23.1"
"150",0,11.2120397966952,0.317,0,0,"29","RP11.295M3.4"
"151",2.40818549940173e-214,4.09392530542997,0.388,0.012,1.35539904462828e-209,"30","IGLL1"
"152",3.84904489820758e-198,4.1617238811942,0.4,0.014,2.16635794005817e-193,"30","GUSBP11"
"153",6.19935413443597e-116,4.82137584232771,0.341,0.017,3.4891824874846e-111,"30","IGLC1"
"154",2.34353222611781e-93,4.91114951073238,0.341,0.021,1.31901024282589e-88,"30","IGLL5"
"155",1.24689948374569e-71,4.4206579896568,0.471,0.052,7.01792436436586e-67,"30","IGHA2"
"156",0,6.5830595640302,0.816,0.01,0,"31","TCL1A"
"157",0,6.57612668515528,0.531,0.003,0,"31","ACY3"
"158",0,7.48618476825448,0.449,0.003,0,"31","HIST1H1B"
"159",0,8.26824330207101,0.367,0.001,0,"31","HIST1H3B"
"160",6.5675949292629e-285,6.78771272691213,0.306,0.003,3.69643945403704e-280,"31","RP11-16E12.2"
